,Code,Code 3digit,Person who finalised the data entry,"Events above 10 people banned (eg ban of gatherings over 5 counts, over 15 does not)","Events above 10 people banned (eg ban of gatherings over 5 counts, over 15 does not)",Agree?,Events above 10 people banned - What does the previous entry in the epifor database say?,Events above 10 people banned - What does the Oxford Blavatnik School database say?,Events above 10 people banned authoritative,Events above 100 people banned (eg ban of gatherings over 20 counts),Events above 100 people banned - What does the previous entry in the epifor database say?,Events above 100 people banned - What does the Oxford Blavatnik School database say?,Events above 100 people banned authoritative,Events above 1000 people banned,Events above 1000 people banned - What does the previous entry in the epifor database say?,Events above 1000 people banned - What does the Oxford Blavatnik School database say?,Events above 1000 people banned authoritative,Stay-at-home (required),,Agree?,Stay at home - What does the previous entry in the epifor database say?,Stay at home - What does the Oxford database say?,Stay at home authoritative,Risky customer facing businesses closed,MAIN,,Agree?,Agree23,Risky business closure - What does the previous entry in the epifor database say?,Risky business closure - What does the Oxford database say?,Risky businesses closed authoritative,All non-essential cutomer facing businesses closed,MAIN,,,Agree23,All non-essential businesses closed - What does the previous entry in the epifor database say?,All non-essential businesses closed - What does the Oxford database say?,All non-essential businesses closed authoritative,"Hospital specialization level 1: screening of patients on hospital entrances, at least some measures to isolate them such as having designated hosptials",Hospital specialization level 1 authoritative,Hospital specialization level 2: level 1 + strong measures such as having designated COVID clinics,Hospital specialization level 2 authoritative,Hospital specialization extra comments,"DJ Healthcare Check: Y - checked guidelines for medical practitioners I - checked national Ministry of Health, didn't find medical practitioner guidelines N - didn't check yet"
Country,,,,Entry1,Entry2,,,,,,,,,,,,,Entry1,Entry2,,,,,Entry1,Entry2,Entry 3,,,,,,Entry1,Entry2,Entry3,,,,,,,,,,,
Andorra,AD,AND,Jan Brauner,,,1,no,no,no,,no,no,no,,no,no,no,No stay at home orders,13.3.2020,0,no,no,no,13.3.2020,16.3.2020,13.03.2020,0,0,13.03.2020,didn't check,14.03.2020,?,13.3.2020,14.03.2020,0,0,13.03.2020,,14.03.2020,23.3.2020,,,no,,Y
Albania,AL,ALB,Jan Brauner,16.3.2020,16.3.2020,1,,"10.03.2020, but wrong source",16.03.2020,,,,16.03.2020,,,,16.03.2020,10.03.2020,10.3.2020,0,,13.03.2020,21.03.2020,10.3.2020,10.3.2020,13.03.2020,1,0,didn't check,didn't check,10.03.2020,12.3.2020,,13.03.2020,0,0,no,,no,20.2.2020,,20.2.2020,no,"Wikipedia
US Embassy in Albania",Y
Austria,AT,AUT,Jan Brauner,15.3.2020,,0,,16.03.2020,15.03.2020,10.3.2020,,16.03.2020,10.03.2020,10.3.2020,,16.03.2020,10.03.2020,16.03.2020,10.3.2020,0,16.03.2020,no,16.03.2020,17.3.2020,17.3.2020,16.03.2020,1,1,17.03.2020,16.03.2020,16.03.2020,17.3.2020,15.3.2020,16.03.2020,0,0,,16.03.2020,16.03.2020,15.3.2020,15.3.2020,,no,Wikipedia,Y
Bosnia and Herzegovina,BA,BIH,Jan Brauner,,,1,,18.03.2020,18.03.2020,16.3.2020,,,16.03.2020,,,,16.03.2020,22.03.2020,20.3.2020,0,,20.03.2020,20.03.2020,18.3.2020,18.3.2020,18.03.2020,1,1,,,18.03.2020,18.3.2020,18.3.2020,18.03.2020,1,1,,,no,16.3.2020,16.3.2020,,no,"Wikipedia
Pragma International",Y
Belgium,BE,BEL,Jan Brauner,,,1,,,18.03.2020,,,14.03.2020,18.03.2020,10.3.2020,,,18.03.2020,18.03.2020,18.3.2020,0,,,18.03.2020,12.3.2020,12.3.2020,13.03.2020,1,1,,,13.03.2020,17.3.2020,17.3.2020,17.03.2020,1,1,,,18.03.2020,11.3.2020,11.3.2020,,no,"Wikipedia
Brussels Times",Y
Bulgaria,BG,BGR,Jan Brauner,21.3.2020,,0,,,13.03.2020,,,,13.03.2020,,,,13.03.2020,No stay at home orders,15.3.2020,0,,,no,8.3.2020,8.3.2020,13.03.2020,1,0,13.03.2020,,13.03.2020,13.3.2020,13.3.2020,13.03.2020,1,1,,,13.03.2020,25.3.2020,25.3.2020,,no,Wikipedia,Y
Switzerland,CH,CHE,Jan Brauner,16.3.2020,20.3.2020,0,,17.03.2020,20.03.2020,13.3.2020,,,13.03.2020,28.2.2020,,,28.02.2020,No stay at home orders,17.3.2020,0,,17.03.2020,no,16.3.2020,16.3.2020,16.03.2020,1,1,,,16.03.2020,16.3.2020,16.3.2020,16.03.2020,1,1,,,16.03.2020,18.3.2020,18.3.2020,,,"Wikipedia
Swiss Medical Weekly",I
Czechia,CZ,CZE,Jan Kulveit,23.3.2020,,0,,,23.03.2020,,,,10.03.2020,,,,10.03.2020,12.03.2020,16.3.2020,0,,,16.03.2020,14.3.2020,14.3.2020,14.3.2020,1,1,,,14.03.2020,14.3.2020,14.3.2020,14.3.2020,1,1,,,14.03.2020,15.3.2020,15.3.2020,15.3.2020,15.3.2020,all on Wikipedia,Y
Germany,DE,DEU,Jan Brauner,22.3.2020,,0,,22.03.2020,22.03.2020,,,22.03.2020,22.03.2020,,,22.03.2020,22.03.2020,No stay at home orders,22.3.2020,0,,no,no,16.3.2020,16.3.2020,22.03.2020,1,0,,,22.03.2020,16.3.2020,16.3.2020,22.03.2020,1,0,,,no,13.3.2020,,22.3.2020,,Wikipedia,N
Denmark,DK,DNK,Jan Brauner,18.3.2020,18.3.2020,1,18.03.2020,18.03.2020,18.03.2020,11.3.2020,11.03.2020,13.03.2020,13.03.2020,10.3.2020,11.03.2020,06.03.2020,06.03.2020,13.03.2020,11.3.2020,0,no,no,no,18.3.2020,18.3.2020,,1,1,13.03.2020,18.03.2020,18.03.2020,18.3.2020,18.3.2020,,1,1,,,18.03.2020,,,,,,N
Estonia,EE,EST,Jan Brauner,12.3.2020,,0,13.03.2020,,13.03.2020,,,12.03.2020,13.03.2020,13.3.2020,,12.03.2020,13.03.2020,No stay at home orders,12.3.2020,0,no,no,no,13.3.2020,13.3.2020,27.03.2020,1,0,no,no,14.03.2020,14.3.2020,14.3.2020,,1,1,no,,no,,,,,spec unclear,N
Spain,ES,ESP,Jan Brauner,,,1,no,no,14.03.2020,,no,no,14.03.2020,10.3.2020,no,no,14.03.2020,28.03.2020,14.3.2020,0,14.03.,14.03.2020,14.03.2020,13.3.2020,13.3.2020,13.03.2020,1,1,14.03.2020,14.03.2020,14.03.2020,14.3.2020,14.3.2020,15.03.2020,1,0,,,14.03.2020,,,,,,N
Finland,FI,FIN,Jan Brauner,25.3.2020,18.3.2020,0,16.03.2020,18.04.2020,17.03.2020,,16.03.2020,,17.03.2020,12.3.2020,16.03.2020,,17.03.2020,25.03.2020,27.3.2020,0,28.03.2020,no,no,16.3.2020,16.3.2020,,1,1,27.03.2020,,04.04.2020,16.3.2020,16.3.2020,,1,1,27.03.2020,,no,,,,,,N
France,FR,FRA,Gavin Leech (checked again by Jan Brauner),,,1,no,26.04.2020,17.03.2020,14.3.2020,15.3.2020,13.3.2020,13.03.2020,08.3.2020,no,29.02.2020,08.03.2020,16.03.2020,17.3.2020,0,17.03.2020,17.03.2020,17.03.2020,14.3.2020,14.3.2020,15.03.2020,1,0,15.03.2020,17.03.2020,14.03.2020,15.3.2020,15.3.2020,24.03.2020,1,0,15.03.2020,17.03.2020,14.03.2020,16.3.2020,16.3.2020,,no,,Y
United Kingdom of Great Britain and Northern Ireland (the),GB,GBR,Gavin Leech,23.3.2020,23.3.2020,1,23.3.2020,23.3.2020,23.03.2020,23.3.2020,23.3.2020,23.3.2020,23.03.2020,23.3.2020,23.3.2020,23.3.2020,23.03.2020,No stay at home orders,25.3.2020,0,23.3.2020,23.3.2020,23.03.2020,20.3.2020,20.3.2020,20.03.2020,1,1,no,21.03.2020,21.03.2020,23.3.2020,23.3.2020,23.03.2020,1,1,23.03.2020,23.03.2020,23.03.2020,13.3.2020,13.3.2020,19.3.2020,19.3.2020,,Y
Georgia,GE,GEO,Gavin Leech,24.3.2020,21.3.2020 and 15.4.2020,0,16.03.2020,no,21.03.2020,,no,no,21.03.2020,,no,no,21.03.2020,No stay at home orders,28.3.2020,0,no,no,no,16.3.2020,16.3.2020,,1,1,no,no,19.03.2020,16.3.2020,16.3.2020,,1,1,no,no,19.03.2020,,,,,,N
Greece,GR,GRC,Gavin Leech,19.3.2020,18.3.2020,0,no,18.3.2020,19.03.2020,,no,18.3.2020,19.03.2020,,no,18.3.2020,09.03.2020,23.03.2020,23.3.2020,0,23.3.2020,23.3.2020,23.03.2020,13.3.2020,13.3.2020,13.03.2020,1,1,13.3.2020,18.4.2020,13.03.2020,16.3.2020,16.3.2020,23.03.2020,1,0,13.3.2020,no,13.03.2020,,,,,,N
Croatia,HR,HRV,Jan Kulveit,19.3.2020,19.3.2020,1,,,19.03.2020,12.3.2020,,,12.03.2020,12.3.2020,,,12.03.2020,21.3.2020,19.3.2020,0,,,no,17.3.2020,17.3.2020,17.03.2020,1,1,,,18.03.2020,17.3.2020,17.3.2020,19.03.2020,1,0,,,18.03.2020,,,,,,N
Hungary,HU,HUN,Jan Brauner,,,1,,11.03.2020,16.03.2020,11.3.2020,,,11.03.2020,30.4.2020,,,11.03.2020,11.3.2020,28.3.2020,0,,28.03.2020,28.03.2020,16.3.2020,16.3.2020,16.03.2020,1,1,16.03.2020,,16.03.2020,16.3.2020,16.3.2020,,1,1,no,,no,16.3.2020,16.3.2020,,,,I
Ireland,IE,IRL,Jan Kulveit,,24.3.2020,1,,,24.03.2020,12.3.2020,,,12.03.2020,3.3.2020,,,12.03.2020,27.3.2020,28.3.2020,1,,,28.03.2020,24.3.2020,24.3.2020,,1,1,,,16.03.2020,24.3.2020,24.3.2020,,1,1,,,25.03.2020,,,,,,N
Israel,IL,ISR,Gavin Leech,9.4.2020,15.3.2020,0,15.3.2020,18.4.2020,15.03.2020,11.3.2020,11.3.2020,18.4.2020,11.03.2020,10.3.2020,no,18.4.2020,11.03.2020,15.3.2020,19.3.2020,0,no,18.4.2020,no,15.3.2020,15.3.2020,14.03.2020,1,0,15.3.2020,18.3.2020,15.03.2020,15.3.2020,15.3.2020,14.03.2020,1,0,15.3.2020,1.4.2020,15.03.2020,,,,,No info on specialization at hospitals.,N
Iceland,IS,ISL,Tamay Besiroglu,23.3.2020,24.3.2020,0,no,no,no,16.3.2020,16.3.2020,18.04.2020,16.03.2020,,16.3.2020,18.04.2020,16.03.2020,21.3.2020,,0,no,no,no,24.3.2020,24.3.2020,24.03.2020,1,1,24.3.2020,,24.03.2020,24.3.2020,24.3.2020,,1,1,no,no,no,,,,,No info on specialization at hospitals.,N
Italy,IT,ITA,Tamay Besiroglu (checked again by Jan Brauner),,10.3.2020,0,20.03.2020,10.3.2020,10.03.2020,10.3.2020,22.02.2020,10.3.2020,10.03.2020,10.3.2020,22.02.2020,10.03.2020,10.03.2020,9.3.2020,10.3.2020,0,no ,10.3.2020,10.03.2020,11.3.2020,11.3.2020,8.03.2020,1,0,11.3.2020,10.3.2020,11.03.2020,11.3.2020,11.3.2020,11.03.2020,1,1,,,11.03.2020,,,,,"Many hospitals and clinics dedicated for COVID-19 only, but no screening processess at hospital entrances, only airports as many other countries did.",N
South Korea,KR,KOR,George Altman,,,,,,No,,,,No,,,,No,,,,,,No,,,,,,,,22.03.2020,,,,,,,,No,,,,,,
Lithuania,LT,LTU,Veronika Nyvltova,,,1,,,16.03.2020,12.3.2020,12.3.2020,,12.03.2020,,,,12.03.2020,16.3.2020,16.3.2020,1,,,no,16.3.2020,16.3.2020,16.03.2020,1,1,12.3.2020,,16.03.2020,16.3.2020,16.3.2020,16.03.2020,1,1,16.3.2020,,16.03.2020,,,,,No info on specialization at hospitals.,N
Latvia,LV,LVA,Tamay Besiroglu,,,1,,,30.03.2020,17.3.2020,14.3.2020,nothing,14.03.2020,13.3.2020,14.3.2020,nothing,14.03.2020,No mandatory curfew,,1,,,No,12.3.2020,12.3.2020,,1,1,,,12.3.2020,24.3.2020,24.3.2020,,1,1,,,No,,,,,Not many measures taken by the government of Latvia,N
Morocco,MA,MAR,George Altman,,,1,,No,No,14.3.2020,,,14.03.2020,4.3.2020,,,04.03.2020,25.4.2020,18.3.2020,0,,,20.03.2020,16.3.2020,16.3.2020,,1,1,,,16.03.2020,16.3.2020,20.3.2020,,1,1,,,20.03.2020,16.3.2020,16.3.2020,,,mixed websites,N
Malta,MT,MLT,George Altman,,,1,,,22.03.2020,,,,22.03.2020,10.3.2020,,,10.03.2020,No mandatory curfew,,1,,,no,16.3.2020,16.3.2020,16.03.2020,1,1,,,16.03.2020,22.3.2020,22.3.2020,22.03.2020,1,1,,,22.03.2020,,,,,all on wikipedia,N
Mexico,MX,MEX,George Altman,,,1,,,no,24.3.2020,,,24.03.2020,,,,24.03.2020,21.3.2020,24.3.2020,0,,,no,22.3.2020,22.3.2020,,1,1,,,22.03.2020,,1.4.2020,,1,0,,26.3.2020,01.04.2020,,,,,all on wikipedia,N
Malaysia,MY,MYS,George Altman,,,1,,,18.03.2020,,,,18.03.2020,12.3.2020,,,12.03.2020,18.3.2020,31.3.2020,0,,no,18.03.2020,18.3.2020,18.3.2020,,1,1,,,18.03.2020,18.3.2020,18.3.2020,,1,1,,,18.03.2020,21.3.2020,21.3.2020,21.3.2020,21.3.2020,all on wikipedia,Y
Netherlands (the),NL,NLD,Jan Kulveit,,,1,,no,no,12.3.2020,,12.3.2020,12.03.2020,12.3.2020,,,12.03.2020,No mandatory curfew,,1,,no,no,11.3.2020,15.3.2020,15.03.2020,1,1,,,15.03.2020,23.3.2020,,,1,1,,,no,,,,,,N
Norway,NO,NOR,George Altman,,12.3.2020,1,,25.3.2020,25.03.2020,,,25.3.2020,25.03.2020,25.4.2020,,11.3.2020,11.03.2020,No mandatory curfew,,1,,No,no,12.3.2020,12.3.2020,12.03.2020,1,1,,,12.03.2020,12.3.2020,12.3.2020,,1,0,,no,12.03.2020,,,,,No info on screening at hospital entrances or stronger measures,N
New Zealand,NZ,NZL,George Altman (checked again by Jan Brauner),,23.3.2020,1,,23.3.2020,23.03.2020,19.3.2020,,21.3.2020,19.03.2020,16.3.2020,,16.3.2020,16.03.2020,23.3.2020,24.3.2020,1,,23.3.2020,23.03.2020,25.3.2020,24.3.2020,23.03.2020,1,1,,23.3.2020,23.03.2020,25.3.2020,25.3.2020,23.03.2020,1,0,,25.3.2020,25.03.2020,21.4.2020,21.4.2020,21.4.2020,21.4.2020,National department recommends screening procedures + isolation rooms for all patients. One private hospital has documented screening.,Y
Poland,PL,POL,Jan Kulveit,,31.3.2020,1,,,24.03.2020,,,,24.03.2020,10.3.2020,,10.3.2020,10.03.2020,No mandatory curfew,,1,,,24.03.2020,13.3.2020,13.3.2020,,1,1,,,14.03.2020,24.3.2020,24.3.2020,31.03.2020,1,0,,,24.03.2020,12.3.2020,12.3.2020,12.3.2020,12.3.2020,Mixed websites,Y
Portugal,PT,PRT,George Altman,,2.4.2020,1,,,18.03.2020,20.3.2020,,,15.03.2020,9.3.2020,,,09.03.2020,No mandatory curfew,,1,,18.4.2020,18.03.2020,14.3.2020,14.3.2020,,1,1,,,14.03.2020,21.3.2020,21.3.2020,,1,1,,20.4.2020,16.03.2020,,,,,outside wikipedia,N
Romania,RO,ROU,Jan Kulveit,,18.3.2020,0,,18.3.2020,18.03.2020,11.3.2020,,12.3.2020,12.03.2020,8.3.2020,,8.3.2020,08.03.2020,24.3.2020,24.3.2020,1,,25.3.2020,25.03.2020,16.3.2020,16.3.2020,16.03.2020,1,1,,,16.03.2020,21.3.2020,21.3.2020,,1,1,,22.3.2020,22.03.2020,14.3.2020,14.3.2020,4.3.2020,4.3.2020,all on wikipedia,Y
