tag,country,description,source,start_date,end_date,quantity
university closure,Austria,On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,2020-03-16,,2.0
university closure,Austria,On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.,,2020-03-10,<notion.collection.NotionDate object at 0x113d5e2b0>,2.0
university closure,United Kingdom,"All schools, nurseries and colleges closed.",https://www.theguardian.com/world/2020/mar/18/coronavirus-school-colleges-nurseries-england-close-uk-friday,2020-03-20,,2.0
university closure,South Korea,Both ministry of education in Korea and China agreed to discourage both Korean and China international students to enter into both countries for upcoming semester until COVID19 resolved.  (if they enter in either nations- special entry procedure will be implemented) ,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=79905&lev=0&searchType=null&statusYN=W&page=4&s=moe&m=020402&opType=N,2020-03-01,,2.0
university closure,Singapore,Universities cancel classes and events with >50 people or move them online,,2020-02-09,,2.0
university closure,Sweden,High schools and universities told to  stop in-person classes ,https://www.theguardian.com/world/2020/mar/12/how-do-coronavirus-containment-measures-vary-across-europe,2020-03-18,,2.0
university closure,Slovenia,all educational institutions are closed,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,2020-03-16,,2.0
university closure,Mexico,Several universities suspended classes ,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico,2020-03-17,,2.0
university closure,Malaysia,Closure of all public and private schools from kindergartens to higher education facilities,https://en.wikipedia.org/wiki/2020_Malaysia_movement_control_order,2020-03-18,,2.0
university closure,Spain,Nationwide closure of schools after all Autonomous Communities order it. More than 10 million students (1 million from university and 9 million from schools) ordered to stay at home for a period of two weeks,https://elfarodemelilla.es/suspenden-clases-melilla-14-dias/,2020-03-12,,2.0
university closure,Spain,The regional government of La Rioja announced the suspension of classes for a period of two weeks,https://twitter.com/lariojaorg/status/1237331569938964480?s=21,2020-03-11,<notion.collection.NotionDate object at 0x114288c18>,2.0
university closure,Spain,the Basque Government announced the same measure would be enforced in the municipality of Vitoria-Gasteiz,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#cite_note-267,2020-03-10,,2.0
university closure,Spain,the Government of the Community of Madrid cancelled all in-person classes in the Autonomous community of Madrid at all educational levels for an initial period of 15 days,https://www.comunidad.madrid/noticias/2020/03/09/comunidad-madrid-aprueba-medidas-extraordinarias-coronavirus,2020-03-11,<notion.collection.NotionDate object at 0x113fa06a0>,2.0
university closure,Spain,temporarily closing all educational institutions in Madrid and other hard-hit regions.,https://www.ft.com/content/b91c1de6-6246-11ea-a6cd-df28cc3c6a68,2020-03-09,,2.0
university closure,China,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,2020-02-06,,2.0
university closure,China,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,2020-02-06,,2.0
