Code,Date,EstimatedInfectous
AD,2020-03-30 00:00:00,1527
AD,2020-03-31 00:00:00,7657
AD,2020-04-02 00:00:00,12541
AE,2020-03-24 00:00:00,1584
AE,2020-03-25 00:00:00,2480
AE,2020-03-27 00:00:00,2480
AE,2020-03-30 00:00:00,4050
AE,2020-03-31 00:00:00,3302
AE,2020-04-02 00:00:00,3295
AF,2020-03-25 00:00:00,1480
AF,2020-03-27 00:00:00,1480
AF,2020-03-30 00:00:00,1880
AF,2020-03-31 00:00:00,3057
AF,2020-04-02 00:00:00,13557
AG,2020-03-25 00:00:00,30
AG,2020-03-27 00:00:00,30
AG,2020-03-30 00:00:00,50
AG,2020-03-31 00:00:00,100
AG,2020-04-02 00:00:00,200
AL,2020-03-24 00:00:00,1040
AL,2020-03-25 00:00:00,1230
AL,2020-03-27 00:00:00,1230
AL,2020-03-30 00:00:00,1860
AL,2020-03-31 00:00:00,5315
AL,2020-04-02 00:00:00,2187
AM,2020-03-24 00:00:00,1940
AM,2020-03-25 00:00:00,2650
AM,2020-03-27 00:00:00,2650
AM,2020-03-30 00:00:00,3290
AM,2020-03-31 00:00:00,5620
AM,2020-04-02 00:00:00,4916
AO,2020-03-25 00:00:00,270
AO,2020-03-27 00:00:00,270
AO,2020-03-30 00:00:00,310
AO,2020-03-31 00:00:00,1409
AO,2020-04-02 00:00:00,2540
AR,2020-03-24 00:00:00,2660
AR,2020-03-25 00:00:00,3010
AR,2020-03-27 00:00:00,3010
AR,2020-03-30 00:00:00,5890
AR,2020-03-31 00:00:00,21002
AR,2020-04-02 00:00:00,23825
AS,2020-03-25 00:00:00,20
AS,2020-03-27 00:00:00,20
AT,2020-03-24 00:00:00,32496
AT,2020-03-25 00:00:00,62023
AT,2020-03-27 00:00:00,62023
AT,2020-03-30 00:00:00,87057
AT,2020-03-31 00:00:00,151844
AT,2020-04-02 00:00:00,43622
AU,2020-03-24 00:00:00,8622
AU,2020-03-25 00:00:00,11006
AU,2020-03-27 00:00:00,11006
AU,2020-03-30 00:00:00,15028
AU,2020-03-31 00:00:00,28592
AU,2020-04-02 00:00:00,40077
AZ,2020-03-24 00:00:00,720
AZ,2020-03-25 00:00:00,870
AZ,2020-03-27 00:00:00,870
AZ,2020-03-30 00:00:00,1650
AZ,2020-03-31 00:00:00,3343
AZ,2020-04-02 00:00:00,2169
BA,2020-03-24 00:00:00,1280
BA,2020-03-25 00:00:00,1660
BA,2020-03-27 00:00:00,1660
BA,2020-03-30 00:00:00,2320
BA,2020-03-31 00:00:00,9512
BA,2020-04-02 00:00:00,6769
BB,2020-03-25 00:00:00,190
BB,2020-03-27 00:00:00,190
BB,2020-03-30 00:00:00,260
BB,2020-03-31 00:00:00,520
BB,2020-04-02 00:00:00,500
BD,2020-03-25 00:00:00,780
BD,2020-03-27 00:00:00,780
BD,2020-03-30 00:00:00,960
BD,2020-03-31 00:00:00,4000
BD,2020-04-02 00:00:00,4000
BE,2020-03-24 00:00:00,32731
BE,2020-03-25 00:00:00,38369
BE,2020-03-27 00:00:00,38369
BE,2020-03-30 00:00:00,73124
BE,2020-03-31 00:00:00,323836
BE,2020-04-02 00:00:00,254616
