Code,Date,Estimates
AE,2020-03-24 00:00:00,1584
AE,2020-03-25 00:00:00,2480
AE,2020-03-27 00:00:00,2480
AE,2020-03-28 00:00:00,2480
AF,2020-03-25 00:00:00,1480
AF,2020-03-27 00:00:00,1480
AF,2020-03-28 00:00:00,1480
AG,2020-03-25 00:00:00,30
AG,2020-03-27 00:00:00,30
AG,2020-03-28 00:00:00,30
AL,2020-03-24 00:00:00,1040
AL,2020-03-25 00:00:00,1230
AL,2020-03-27 00:00:00,1230
AL,2020-03-28 00:00:00,1230
AM,2020-03-24 00:00:00,1940
AM,2020-03-25 00:00:00,2650
AM,2020-03-27 00:00:00,2650
AM,2020-03-28 00:00:00,2650
AO,2020-03-25 00:00:00,270
AO,2020-03-27 00:00:00,270
AO,2020-03-28 00:00:00,270
AR,2020-03-24 00:00:00,2660
AR,2020-03-25 00:00:00,3010
AR,2020-03-27 00:00:00,3010
AR,2020-03-28 00:00:00,3010
AS,2020-03-25 00:00:00,20
AS,2020-03-27 00:00:00,20
AS,2020-03-28 00:00:00,20
AT,2020-03-24 00:00:00,32496
AT,2020-03-25 00:00:00,62023
AT,2020-03-27 00:00:00,62023
AT,2020-03-28 00:00:00,62023
AU,2020-03-24 00:00:00,8622
AU,2020-03-25 00:00:00,11006
AU,2020-03-27 00:00:00,11006
AU,2020-03-28 00:00:00,11006
AZ,2020-03-24 00:00:00,720
AZ,2020-03-25 00:00:00,870
AZ,2020-03-27 00:00:00,870
AZ,2020-03-28 00:00:00,870
BA,2020-03-24 00:00:00,1280
BA,2020-03-25 00:00:00,1660
BA,2020-03-27 00:00:00,1660
BA,2020-03-28 00:00:00,1660
BB,2020-03-25 00:00:00,190
BB,2020-03-27 00:00:00,190
BB,2020-03-28 00:00:00,190
BD,2020-03-25 00:00:00,780
BD,2020-03-27 00:00:00,780
BD,2020-03-28 00:00:00,780
BE,2020-03-24 00:00:00,32731
BE,2020-03-25 00:00:00,38369
BE,2020-03-27 00:00:00,38369
BE,2020-03-28 00:00:00,38369
BF,2020-03-25 00:00:00,2280
BF,2020-03-27 00:00:00,2280
BF,2020-03-28 00:00:00,2280
BG,2020-03-24 00:00:00,2010
BG,2020-03-25 00:00:00,2180
BG,2020-03-27 00:00:00,2180
BG,2020-03-28 00:00:00,2180
BH,2020-03-24 00:00:00,5236
BH,2020-03-25 00:00:00,6416
BH,2020-03-27 00:00:00,6416
BH,2020-03-28 00:00:00,6416
BJ,2020-03-25 00:00:00,310
BJ,2020-03-27 00:00:00,310
BJ,2020-03-28 00:00:00,310
BN,2020-03-24 00:00:00,910
BN,2020-03-25 00:00:00,1090
BN,2020-03-27 00:00:00,1090
BN,2020-03-28 00:00:00,1090
BO,2020-03-25 00:00:00,640
BO,2020-03-27 00:00:00,640
BO,2020-03-28 00:00:00,640
BR,2020-03-24 00:00:00,32580
BR,2020-03-25 00:00:00,44020
BR,2020-03-27 00:00:00,44020
BR,2020-03-28 00:00:00,44020
BS,2020-03-25 00:00:00,60
BS,2020-03-27 00:00:00,60
BS,2020-03-28 00:00:00,60
BT,2020-03-25 00:00:00,83
BT,2020-03-27 00:00:00,83
BT,2020-03-28 00:00:00,83
BY,2020-03-24 00:00:00,405
BY,2020-03-25 00:00:00,405
BY,2020-03-27 00:00:00,405
BY,2020-03-28 00:00:00,405
BZ,2020-03-25 00:00:00,30
BZ,2020-03-27 00:00:00,30
BZ,2020-03-28 00:00:00,30
CA,2020-03-24 00:00:00,19083
CA,2020-03-25 00:00:00,27521
CA,2020-03-27 00:00:00,27521
CA,2020-03-28 00:00:00,27521
CF,2020-03-25 00:00:00,280
CF,2020-03-27 00:00:00,280
CF,2020-03-28 00:00:00,280
CG,2020-03-25 00:00:00,290
CG,2020-03-25 00:00:00,900
CG,2020-03-27 00:00:00,290
CG,2020-03-27 00:00:00,900
CG,2020-03-28 00:00:00,290
CG,2020-03-28 00:00:00,900
CI,2020-03-25 00:00:00,1460
CI,2020-03-27 00:00:00,1460
CI,2020-03-28 00:00:00,1460
CL,2020-03-24 00:00:00,7460
CL,2020-03-25 00:00:00,9220
CL,2020-03-27 00:00:00,9220
CL,2020-03-28 00:00:00,9220
CM,2020-03-25 00:00:00,1320
CM,2020-03-27 00:00:00,1320
CM,2020-03-28 00:00:00,1320
CN-HK,2020-03-24 00:00:00,712
CN-HK,2020-03-25 00:00:00,772
CN-HK,2020-03-27 00:00:00,772
CN-HK,2020-03-28 00:00:00,772
CN-HK,2020-03-30 00:00:00,1036
CN-HK,2020-03-31 00:00:00,1036
CN-HK,2020-04-02 00:00:00,1036
CN,2020-03-24 00:00:00,13000
CO,2020-03-24 00:00:00,2350
CO,2020-03-25 00:00:00,3997
CO,2020-03-27 00:00:00,3997
CO,2020-03-28 00:00:00,3997
CR,2020-03-24 00:00:00,1340
CR,2020-03-25 00:00:00,1770
CR,2020-03-27 00:00:00,1770
CR,2020-03-28 00:00:00,1770
CU,2020-03-25 00:00:00,960
CU,2020-03-27 00:00:00,960
CU,2020-03-28 00:00:00,960
CV,2020-03-25 00:00:00,50
CV,2020-03-27 00:00:00,50
CV,2020-03-28 00:00:00,50
CY,2020-03-24 00:00:00,1180
CY,2020-03-25 00:00:00,3020
CY,2020-03-27 00:00:00,3020
CY,2020-03-28 00:00:00,3020
CZ,2020-03-24 00:00:00,4000
CZ,2020-03-25 00:00:00,7945
CZ,2020-03-27 00:00:00,7945
CZ,2020-03-28 00:00:00,7945
DE,2020-03-24 00:00:00,62016
DE,2020-03-25 00:00:00,280810
DE,2020-03-27 00:00:00,280810
DE,2020-03-28 00:00:00,280810
DJ,2020-03-25 00:00:00,50
DJ,2020-03-27 00:00:00,50
DJ,2020-03-28 00:00:00,50
DK,2020-03-24 00:00:00,27060
DK,2020-03-25 00:00:00,34860
DK,2020-03-27 00:00:00,34860
DK,2020-03-28 00:00:00,34860
DM,2020-03-25 00:00:00,40
DM,2020-03-27 00:00:00,40
DM,2020-03-28 00:00:00,40
DO,2020-03-24 00:00:00,2450
DO,2020-03-25 00:00:00,3120
DO,2020-03-27 00:00:00,3120
DO,2020-03-28 00:00:00,3120
DZ,2020-03-24 00:00:00,3774
DZ,2020-03-25 00:00:00,4008
DZ,2020-03-27 00:00:00,4008
DZ,2020-03-28 00:00:00,4008
EC,2020-03-24 00:00:00,7848
EC,2020-03-25 00:00:00,10820
EC,2020-03-27 00:00:00,10820
EC,2020-03-28 00:00:00,10820
EE,2020-03-24 00:00:00,2816
EE,2020-03-25 00:00:00,3690
EE,2020-03-27 00:00:00,3690
EE,2020-03-28 00:00:00,3690
EG,2020-03-25 00:00:00,19500
EG,2020-03-27 00:00:00,19500
EG,2020-03-28 00:00:00,19500
ER,2020-03-25 00:00:00,260
ER,2020-03-27 00:00:00,260
ER,2020-03-28 00:00:00,260
ES,2020-03-24 00:00:00,343397
ES,2020-03-25 00:00:00,638707
ES,2020-03-27 00:00:00,638707
ES,2020-03-28 00:00:00,638707
ET,2020-03-25 00:00:00,370
ET,2020-03-27 00:00:00,370
ET,2020-03-28 00:00:00,370
FI,2020-03-24 00:00:00,3101
FI,2020-03-25 00:00:00,3408
FI,2020-03-27 00:00:00,3408
FI,2020-03-28 00:00:00,3408
FJ,2020-03-25 00:00:00,60
FJ,2020-03-27 00:00:00,60
FJ,2020-03-28 00:00:00,60
FR,2020-03-24 00:00:00,246840
FR,2020-03-25 00:00:00,307472
FR,2020-03-27 00:00:00,307472
FR,2020-03-28 00:00:00,307472
GA,2020-03-25 00:00:00,80
GA,2020-03-27 00:00:00,80
GA,2020-03-28 00:00:00,80
GB,2020-03-24 00:00:00,233133
GB,2020-03-25 00:00:00,290909
GB,2020-03-27 00:00:00,290909
GB,2020-03-28 00:00:00,290909
GD,2020-03-25 00:00:00,30
GD,2020-03-27 00:00:00,30
GD,2020-03-28 00:00:00,30
GE,2020-03-24 00:00:00,610
GE,2020-03-25 00:00:00,730
GE,2020-03-27 00:00:00,730
GE,2020-03-28 00:00:00,730
GG,2020-03-25 00:00:00,250
GG,2020-03-27 00:00:00,250
GG,2020-03-28 00:00:00,250
GH,2020-03-25 00:00:00,1040
GH,2020-03-27 00:00:00,1040
GH,2020-03-28 00:00:00,1040
GM,2020-03-25 00:00:00,155
GM,2020-03-27 00:00:00,155
GM,2020-03-28 00:00:00,155
GN,2020-03-25 00:00:00,290
GN,2020-03-27 00:00:00,290
GN,2020-03-28 00:00:00,290
GQ,2020-03-25 00:00:00,110
GQ,2020-03-27 00:00:00,110
GQ,2020-03-28 00:00:00,110
GR,2020-03-24 00:00:00,6950
GR,2020-03-25 00:00:00,7430
GR,2020-03-27 00:00:00,7430
GR,2020-03-28 00:00:00,7430
GT,2020-03-25 00:00:00,335
GT,2020-03-27 00:00:00,335
GT,2020-03-28 00:00:00,335
GU,2020-03-25 00:00:00,580
GU,2020-03-27 00:00:00,580
GU,2020-03-28 00:00:00,580
GY,2020-03-25 00:00:00,70
GY,2020-03-27 00:00:00,70
GY,2020-03-28 00:00:00,70
HN,2020-03-25 00:00:00,720
HN,2020-03-27 00:00:00,720
HN,2020-03-28 00:00:00,720
HR,2020-03-24 00:00:00,3150
HR,2020-03-25 00:00:00,4180
HR,2020-03-27 00:00:00,4180
HR,2020-03-28 00:00:00,4180
HT,2020-03-25 00:00:00,320
HT,2020-03-27 00:00:00,320
HT,2020-03-28 00:00:00,320
HU,2020-03-24 00:00:00,1336
HU,2020-03-25 00:00:00,2113
HU,2020-03-27 00:00:00,2113
HU,2020-03-28 00:00:00,2113
CH,2020-03-24 00:00:00,51651
CH,2020-03-25 00:00:00,82430
CH,2020-03-27 00:00:00,82430
CH,2020-03-28 00:00:00,82430
ID,2020-03-24 00:00:00,8685
ID,2020-03-25 00:00:00,15800
ID,2020-03-27 00:00:00,15800
ID,2020-03-28 00:00:00,15800
IE,2020-03-24 00:00:00,4852
IE,2020-03-25 00:00:00,7029
IE,2020-03-27 00:00:00,7029
IE,2020-03-28 00:00:00,7029
IL,2020-03-24 00:00:00,3407
IL,2020-03-25 00:00:00,10671
IL,2020-03-27 00:00:00,10671
IL,2020-03-28 00:00:00,10671
IM,2020-03-25 00:00:00,250
IM,2020-03-27 00:00:00,250
IM,2020-03-28 00:00:00,250
IN,2020-03-24 00:00:00,4680
IN,2020-03-25 00:00:00,5620
IN,2020-03-27 00:00:00,5620
IN,2020-03-28 00:00:00,5620
IQ,2020-03-24 00:00:00,5320
IQ,2020-03-25 00:00:00,6320
IQ,2020-03-27 00:00:00,6320
IQ,2020-03-28 00:00:00,6320
IR,2020-03-24 00:00:00,902241
IR,2020-03-25 00:00:00,950195
IR,2020-03-27 00:00:00,950195
