Code,Date,Mean,Variance,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.40,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99
AO,2020-04-05 11:49:00+00:00,986.1964,1196836,94.82468,128.708,145.6496,162.5913,179.533,179.533,196.4746,213.4163,213.4163,230.3579,247.2996,247.2996,264.2412,281.1829,281.1829,298.1246,298.1246,315.0662,332.0079,332.0079,348.9495,348.9495,365.8912,382.8328,382.8328,399.7745,399.7745,416.7161,433.6578,433.6578,450.5995,467.5411,467.5411,484.4828,501.4244,501.4244,518.3661,535.3077,535.3077,552.2494,569.1911,569.1911,586.1327,603.0744,620.016,636.9577,636.9577,653.8993,670.841,687.7826,704.7243,721.666,738.6076,755.5493,772.4909,789.4326,806.3742,823.3159,840.2576,857.1992,874.1409,891.0825,908.0242,924.9658,958.8491,975.7908,992.7325,1026.616,1043.557,1077.441,1111.324,1128.266,1162.149,1196.032,1229.916,1263.799,1297.682,1331.566,1365.449,1416.274,1467.099,1500.982,1551.807,1619.574,1670.399,1738.165,1805.932,1890.64,1975.349,2076.998,2178.648,2297.24,2449.715,2619.131,2839.373,3110.439,3500.098,4076.114,5211.205
AO,2020-05-03 11:49:00+00:00,2399.163,1.050837e+07,208.1148,208.1148,264.4592,320.8035,320.8035,377.1479,377.1479,377.1479,433.4922,433.4922,489.8365,489.8365,546.1809,546.1809,546.1809,602.5252,602.5252,658.8696,658.8696,658.8696,715.2139,715.2139,771.5583,771.5583,771.5583,827.9026,827.9026,884.2469,884.2469,940.5913,940.5913,940.5913,996.9356,996.9356,1053.28,1053.28,1109.624,1109.624,1165.969,1165.969,1222.313,1222.313,1278.657,1335.002,1335.002,1391.346,1391.346,1447.69,1504.035,1504.035,1560.379,1560.379,1616.723,1673.068,1729.412,1729.412,1785.756,1842.101,1898.445,1954.789,1954.789,2011.134,2067.478,2123.822,2180.167,2236.511,2292.855,2349.2,2461.889,2518.233,2574.577,2630.922,2743.61,2799.955,2912.643,2968.988,3081.676,3194.365,3307.054,3419.742,3532.431,3645.12,3814.153,3983.186,4152.219,4321.252,4490.285,4715.662,4997.384,5222.761,5560.827,5898.893,6349.648,6856.747,7476.535,8321.7,9448.587,11251.61,14913.99
AR,2020-04-26 23:22:00+00:00,31801.45,1.59212e+09,2626.147,3290.984,3955.821,4620.658,4620.658,5285.495,5285.495,5950.331,5950.331,6615.168,6615.168,7280.005,7280.005,7944.842,7944.842,8609.679,8609.679,9274.516,9274.516,9939.353,9939.353,10604.19,10604.19,10604.19,11269.03,11269.03,11933.86,11933.86,12598.7,12598.7,13263.54,13263.54,13928.38,14593.21,14593.21,15258.05,15258.05,15922.89,15922.89,16587.72,16587.72,17252.56,17917.4,17917.4,18582.23,19247.07,19247.07,19911.91,20576.74,20576.74,21241.58,21906.42,22571.26,22571.26,23236.09,23900.93,24565.77,25230.6,25895.44,26560.28,27225.11,27889.95,28554.79,29219.63,29884.46,30549.3,31214.14,31878.97,33208.65,33873.48,34538.32,35868,36532.83,37862.51,39192.18,39857.02,41186.69,42516.36,43846.04,45175.71,47170.22,48499.9,50494.41,52488.92,54483.43,56477.94,59137.29,61796.64,65120.82,68445.01,72434.03,77087.89,82406.58,88390.12,96368.16,106340.7,120967.1,142241.9,186121.2
AR,2020-05-17 23:22:00+00:00,51306.23,5.11092e+09,3297.127,4561.158,5825.189,5825.189,7089.22,7089.22,8353.251,8353.251,8353.251,9617.282,9617.282,10881.31,10881.31,10881.31,12145.34,12145.34,12145.34,13409.37,13409.37,14673.41,14673.41,14673.41,15937.44,15937.44,17201.47,17201.47,17201.47,18465.5,18465.5,19729.53,19729.53,19729.53,20993.56,20993.56,22257.59,22257.59,23521.62,23521.62,24785.65,24785.65,26049.68,26049.68,27313.72,27313.72,28577.75,28577.75,29841.78,29841.78,31105.81,32369.84,32369.84,33633.87,34897.9,34897.9,36161.93,37425.96,37425.96,38689.99,39954.03,41218.06,42482.09,42482.09,43746.12,45010.15,46274.18,47538.21,48802.24,50066.27,51330.3,53858.37,55122.4,56386.43,57650.46,60178.52,61442.55,63970.61,65234.65,67762.71,70290.77,72818.83,75346.89,77874.95,81667.05,84195.11,87987.2,91779.3,96835.42,101891.5,106947.7,113267.8,119588,127172.2,137284.4,148660.7,162565,180261.5,205542.1,245991.1,326889.1
AU,2020-03-08 18:33:00+00:00,805.9381,434365,119.1376,144.8426,161.9793,179.116,187.6844,204.8211,213.3895,221.9578,230.5262,247.6629,256.2312,264.7996,273.3679,281.9363,290.5046,299.073,307.6413,316.2097,324.7781,333.3464,341.9148,350.4831,359.0515,367.6198,376.1882,384.7565,393.3249,401.8932,410.4616,419.0299,436.1666,444.735,453.3034,461.8717,470.4401,479.0084,487.5768,496.1451,504.7135,521.8502,530.4185,538.9869,547.5552,564.6919,573.2603,581.8287,590.397,607.5337,616.1021,624.6704,641.8071,650.3755,667.5122,676.0805,693.2172,701.7856,718.9223,736.059,744.6274,761.7641,778.9008,787.4691,804.6058,821.7425,838.8793,856.016,873.1527,890.2894,915.9944,933.1311,950.2678,975.9729,993.1096,1018.815,1035.951,1061.656,1087.361,1113.067,1147.34,1173.045,1207.318,1233.024,1275.865,1310.139,1344.412,1387.254,1438.664,1490.074,1541.484,1601.463,1670.01,1747.125,1832.808,1935.628,2055.585,2209.816,2406.888,2706.78,3255.155
AU,2020-03-15 18:35:00+00:00,1819.174,3994746,113.3699,139.4495,165.5291,191.6087,217.6883,217.6883,243.7679,243.7679,269.8475,269.8475,295.9271,295.9271,322.0067,322.0067,348.0863,348.0863,374.1659,374.1659,400.2455,400.2455,426.3251,426.3251,452.4047,478.4843,478.4843,504.5639,504.5639,530.6435,556.7231,582.8027,582.8027,608.8823,634.9619,661.0415,687.1211,687.1211,713.2007,739.2803,765.3599,791.4395,843.5987,869.6784,895.758,921.8376,947.9172,1000.076,1026.156,1078.315,1104.395,1156.554,1182.634,1234.793,1286.952,1313.032,1365.191,1417.35,1469.509,1521.668,1573.828,1625.987,1678.146,1730.305,1782.464,1834.624,1886.783,1938.942,2017.181,2069.34,2121.499,2199.738,2251.897,2330.136,2408.375,2460.534,2538.773,2617.012,2695.251,2773.489,2877.808,2956.047,3060.365,3164.683,3269.002,3373.32,3503.718,3634.116,3764.514,3920.992,4103.549,4286.106,4468.664,4703.38,4964.176,5277.131,5642.246,6085.599,6685.43,7572.136,9215.151
AU,2020-04-05 16:43:00+00:00,79786.83,2.033754e+10,5514.04,10412.77,10412.77,10412.77,10412.77,15311.5,15311.5,15311.5,15311.5,15311.5,20210.23,20210.23,20210.23,20210.23,20210.23,20210.23,25108.96,25108.96,25108.96,25108.96,25108.96,30007.69,30007.69,30007.69,30007.69,30007.69,34906.43,34906.43,34906.43,34906.43,34906.43,34906.43,39805.16,39805.16,39805.16,39805.16,39805.16,44703.89,44703.89,44703.89,44703.89,49602.62,49602.62,49602.62,49602.62,49602.62,54501.35,54501.35,54501.35,54501.35,59400.08,59400.08,59400.08,59400.08,59400.08,64298.81,64298.81,64298.81,69197.54,69197.54,69197.54,69197.54,74096.27,74096.27,74096.27,78995,78995,78995,83893.73,83893.73,83893.73,88792.47,88792.47,93691.2,93691.2,98589.93,98589.93,103488.7,103488.7,108387.4,113286.1,113286.1,118184.9,123083.6,127982.3,132881,137779.8,142678.5,147577.2,157374.7,167172.2,176969.6,191665.8,206362,225956.9,260248,304336.6,382716.3,559070.6
AU,2020-05-03 16:46:00+00:00,162271.9,4.811169e+10,14080.53,14080.53,17893.87,21707.2,21707.2,25520.54,25520.54,25520.54,29333.88,29333.88,33147.22,33147.22,36960.55,36960.55,36960.55,40773.89,40773.89,44587.23,44587.23,44587.23,48400.56,48400.56,52213.9,52213.9,52213.9,56027.24,56027.24,59840.58,59840.58,63653.91,63653.91,63653.91,67467.25,67467.25,71280.59,71280.59,75093.93,75093.93,78907.26,78907.26,82720.6,82720.6,86533.94,90347.27,90347.27,94160.61,94160.61,97973.95,101787.3,101787.3,105600.6,105600.6,109414,113227.3,117040.6,117040.6,120854,124667.3,128480.6,132294,132294,136107.3,139920.7,143734,147547.3,151360.7,155174,158987.3,166614,170427.4,174240.7,178054,185680.7,189494,197120.7,200934.1,208560.7,216187.4,223814.1,231440.8,239067.4,246694.1,258134.1,269574.1,281014.1,292454.1,303894.2,319147.5,334400.9,353467.5,376347.6,399227.6,429734.3,464054.3,506001,563201.1,639467.8,761494.6,1009362
AZ,2020-04-19 23:21:00+00:00,10919.18,1.697923e+08,880.0846,1301.727,1512.548,1512.548,1723.369,1934.19,1934.19,2145.011,2145.011,2355.832,2566.654,2566.654,2777.475,2777.475,2988.296,2988.296,3199.117,3199.117,3409.938,3409.938,3620.759,3620.759,3831.58,3831.58,4042.401,4042.401,4253.223,4464.044,4464.044,4674.865,4674.865,4885.686,4885.686,5096.507,5307.328,5307.328,5518.149,5518.149,5728.97,5939.792,5939.792,6150.613,6361.434,6361.434,6572.255,6783.076,6783.076,6993.897,7204.718,7415.54,7415.54,7626.361,7837.182,8048.003,8258.824,8469.645,8680.466,8891.287,9102.109,9312.93,9523.751,9734.572,9945.393,10156.21,10367.04,10577.86,10788.68,11210.32,11421.14,11842.78,12053.6,12475.25,12686.07,13107.71,13529.35,13740.17,14161.82,14794.28,15215.92,15637.56,16059.21,16691.67,17324.13,17956.6,18589.06,19432.34,20275.63,21118.91,22173.02,23227.12,24492.05,25967.8,27865.19,29973.4,32503.25,35665.57,40303.64,47260.73,61385.75
