Code,Name,OfficialName,OtherNames,Level,M49Code,ContinentCode,SubregionCode,CountryCode,CountryCodeISOa3,SubdivisionCode,Lat,Lon,Population,GleamID
G-AAA,Anaa,,,gleam_basin,,W-OC,,PF,PYF,,,,,710
G-AAB,Arrabury,,,gleam_basin,,W-OC,,AU,AUS,,,,,1668
G-AAC,El Arish,,,gleam_basin,,W-AF,,EG,EGY,,,,,59
G-AAE,Annaba,,,gleam_basin,,W-AF,,DZ,DZA,,,,504000.0,45
G-AAL,Aalborg,,,gleam_basin,,W-EU,,DK,DNK,,,,122000.0,1565
G-AAN,Al Ain,,,gleam_basin,,W-AS,,AE,ARE,,,,409000.0,3180
G-AAQ,Anapa,,,gleam_basin,,W-EU,,RU,RUS,,,,54000.0,1913
G-AAR,Aarhus,,,gleam_basin,,W-EU,,DK,DNK,,,,238000.0,1566
G-AAT,Altay,,,gleam_basin,,W-AS,,CN,CHN,,,,142000.0,459
G-AAX,Araxa,,,gleam_basin,,W-SA,,BR,BRA,,,,83000.0,2023
G-AAY,Al Ghaydah,,,gleam_basin,,W-AS,,YE,YEM,,,,,587
G-ABA,Abakan,,,gleam_basin,,W-EU,,RU,RUS,,,,167000.0,1901
G-ABB,Asaba,,,gleam_basin,,W-AF,,NG,NGA,,,,73000.0,1425
G-ABD,Abadan,,,gleam_basin,,W-AS,,IR,IRN,,,,41000.0,2962
G-ABE,Lehigh Valley,,,gleam_basin,,W-NA,,US,USA,,,,,2415
G-ABI,Abilene,,,gleam_basin,,W-NA,,US,USA,,,,115000.0,2416
G-ABJ,Abidjan,,,gleam_basin,,W-AF,,CI,CIV,,,,3802000.0,2050
G-ABK,Kebri Dehar,,,gleam_basin,,W-AF,,ET,ETH,,,,,240
G-ABL,Ambler,,,gleam_basin,,W-NA,,US,USA,,,,7000.0,2486
G-ABQ,Albuquerque,,,gleam_basin,,W-NA,,US,USA,,,,759000.0,2417
G-ABR,Aberdeen (US),,,gleam_basin,,W-NA,,US,USA,,,,,2418
G-ABS,Abu Simbel,,,gleam_basin,,W-AF,,EG,EGY,,,,,57
G-ABT,Al Baha,,,gleam_basin,,W-AS,,SA,SAU,,,,,263
G-ABU,Atambua,,,gleam_basin,,W-AS,,ID,IDN,,,,36000.0,1297
G-ABV,Abuja,,,gleam_basin,,W-AF,,NG,NGA,,,,1576000.0,1426
G-ABX,Albury,,,gleam_basin,,W-OC,,AU,AUS,,,,104000.0,1660
G-ABY,Albany (US-GA),,,gleam_basin,,W-NA,,US,USA,,,,,2419
G-ABZ,Aberdeen (UK),,,gleam_basin,,W-EU,,GB,GBR,,,,,785
G-ACA,Acapulco,,,gleam_basin,,W-NA,,MX,MEX,,,,,1021
G-ACC,Accra,,,gleam_basin,,W-AF,,GH,GHA,,,,2121000.0,103
G-ACE,Lanzarote,,,gleam_basin,,W-EU,,ES,ESP,,,,,2902
G-ACH,Altenrhein,,,gleam_basin,,W-EU,,CH,CHE,,,,,278
G-ACP,Maragheh,,,gleam_basin,,W-AS,,IR,IRN,,,,151000.0,2959
G-ACR,Araracuara,,,gleam_basin,,W-SA,,CO,COL,,,,,1391
G-ACT,Waco,,,gleam_basin,,W-NA,,US,USA,,,,188000.0,2370
G-ACU,Achutupo,,,gleam_basin,,W-NA,,PA,PAN,,,,,3008
G-ACV,Arcata,,,gleam_basin,,W-NA,,US,USA,,,,34000.0,2369
G-ACX,Xingyi,,,gleam_basin,,W-AS,,CN,CHN,,,,816000.0,437
G-ACY,Atlantic City,,,gleam_basin,,W-NA,,US,USA,,,,241000.0,2371
G-ACZ,Zabol,,,gleam_basin,,W-AS,,IR,IRN,,,,234000.0,2960
G-ADA,Adana,,,gleam_basin,,W-AS,,TR,TUR,,,,1293000.0,1759
G-ADB,Izmir,,,gleam_basin,,W-AS,,TR,TUR,,,,2587000.0,1746
G-ADD,Addis Ababa,,,gleam_basin,,W-AF,,ET,ETH,,,,3100000.0,228
G-ADE,Aden,,,gleam_basin,,W-AS,,YE,YEM,,,,1000000.0,579
G-ADF,Adiyaman,,,gleam_basin,,W-AS,,TR,TUR,,,,224000.0,1745
G-ADH,Aldan,,,gleam_basin,,W-EU,,RU,RUS,,,,24000.0,1819
G-ADK,Adak Island,,,gleam_basin,,W-NA,,US,USA,,,,,2150
G-ADL,Adelaide,,,gleam_basin,,W-OC,,AU,AUS,,,,1145000.0,1595
G-ADQ,Kodiak,,,gleam_basin,,W-NA,,US,USA,,,,9000.0,2483
G-ADU,Ardabil,,,gleam_basin,,W-AS,,IR,IRN,,,,415000.0,2935
G-ADV,Addeain,,,gleam_basin,,W-AF,,SD,SDN,,,,,3012
G-ADZ,San Andres Island,,,gleam_basin,,W-SA,,CO,COL,,,,,1369
G-AEB,Baise,,,gleam_basin,,W-AS,,CN,CHN,,,,340000.0,331
G-AEG,Aek Godang,,,gleam_basin,,W-AS,,ID,IDN,,,,,1244
G-AER,Sochi,,,gleam_basin,,W-EU,,RU,RUS,,,,328000.0,1910
G-AES,Alesund,,,gleam_basin,,W-EU,,NO,NOR,,,,48000.0,1145
G-AET,Allakaket,,,gleam_basin,,W-NA,,US,USA,,,,,2446
G-AEX,Alexandria (US),,,gleam_basin,,W-NA,,US,USA,,,,,2114
G-AEY,Akureyri,,,gleam_basin,,W-EU,,IS,ISL,,,,17000.0,1348
