"Type","Region Name","Code M49","Parent Code M49","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
"World","WORLD",900,0,338496583,270083424,261028395,239487998,222895854,196163339,169236013,164472787,147562921,128450322,107722203,88673574,73448221,55142936,37383415,21901818,9627050,3474928,947494,197844,33899
"Development Group","More developed regions",901,1803,82892747,67414531,73044352,68131149,71208406,64082766,50569949,58644211,55882346,50172142,42860086,36002340,31176766,25238080,18175310,11245727,5239744,2111252,591602,117576,17831
"Development Group","Less developed regions",902,1803,255603836,202668893,187984043,171356849,151687448,132080573,118666064,105828576,91680575,78278180,64862117,52671234,42271455,29904856,19208105,10656091,4387306,1363676,355892,80268,16068
"Development Group","Least developed countries",941,902,32587938,25718099,22353375,19849076,17360529,14989864,12899555,10991418,9331607,7825769,6275492,5009133,3836678,2847878,1917800,1080762,422783,109802,18143,1933,151
"Development Group","Less developed regions, excluding least developed countries",934,902,223015898,176950794,165630668,151507773,134326919,117090709,105766509,94837158,82348968,70452411,58586625,47662101,38434777,27056978,17290305,9575329,3964523,1253874,337749,78335,15917
"Development Group","Less developed regions, excluding China",948,1803,177500990,144116595,132055851,118093219,104463578,89519649,76783818,68057156,59050299,48862047,40966882,31181767,25574156,17361962,12173714,6986677,3136331,1130518,314012,75225,15560
"Special other","Land-locked Developing Countries (LLDC)",1636,1803,16149750,12768523,12222747,10562601,9735661,7736987,6337505,5891637,5079230,4484422,3575040,2834131,2423069,1798225,1158531,643797,268751,97643,29233,5311,668
"Special other","Small Island Developing States (SIDS)",1637,1803,3637648,3063928,2735820,2363069,2062879,1802129,1604846,1457936,1226080,1031473,794482,575137,497563,375978,262869,164133,73890,29896,8984,1992,388
"Income Group","High-income countries",1503,1802,73651729,61810623,58800208,56675602,56479336,54741279,44749255,49061213,47043370,42561349,37065740,31211984,26987052,21777667,15742634,9664132,4565330,1810827,489526,89118,11132
"Income Group","Middle-income countries",1517,1802,241735430,189784447,186144877,168740617,154203882,130985489,115601790,107809499,94061993,80456436,66279857,53924124,43702440,31331615,20365915,11537198,4774565,1583763,443026,106926,22607
"Income Group","Upper-middle-income countries",1502,1517,130376545,98268725,99752161,91153598,84395832,71016642,63974244,61143269,53505847,46974486,38330692,32713768,26096735,19536554,11771075,6398487,2461949,751818,224196,64005,20239
"Income Group","Lower-middle-income countries",1501,1517,111358885,91515722,86392716,77587019,69808050,59968847,51627546,46666230,40556146,33481950,27949165,21210356,17605705,11795061,8594840,5138711,2312616,831945,218830,42921,2368
"Income Group","Low-income countries",1500,1802,22977817,18391902,15999135,13996448,12146566,10374096,8831346,7552030,6416013,5398045,4349054,3514180,2739708,2019380,1263720,693358,283511,79031,14624,1751,150
"Income Group","No income group available",1518,1802,131607,96452,84175,75331,66070,62475,53622,50045,41545,34492,27552,23286,19021,14274,11146,7130,3644,1307,318,49,10
"Region","Africa",903,1840,38570006,29731187,25895873,23160517,20232877,17334292,14833647,12573788,10808139,9035799,7539667,6027442,4664211,3372688,2188278,1146707,492567,148398,32791,4784,479
"Region","Asia",935,1840,200620130,160103697,151115514,139500194,123657803,107820340,98064396,88394884,76952461,66118694,54791065,44825229,36327385,25734409,16579870,9194475,3721559,1086456,253502,44277,2652
"Region","Europe",908,1840,51684264,41977805,50974699,46660857,49338963,43090616,31435355,40305986,39194254,35403732,29677665,24574130,21274914,17239610,12822854,8026079,3744762,1448919,373406,68957,11032
"Region","Latin America and the Caribbean",904,1840,27159407,21903881,19273117,16882174,15257004,12881671,10774828,9742930,8265609,6970064,5792867,4484640,3504625,2509295,1679073,971489,435425,203550,83143,32682,13050
"Region","Northern America",905,1840,18882284,15108635,12705621,12301107,13365376,13991142,13181926,12532676,11528802,10216826,9294673,8208689,7188697,5904575,3844564,2400522,1147897,552668,194267,45192,6472
