category,feature,tag,description,quantity,aggregation
Isolation,Symptomatic isolation - targeted,contact isolation - symptoms,Close contacts of confirmed cases directed to isolate if they have symptoms,1.0,max
Isolation,Symptomatic isolation - targeted,cohort isolation - symptoms,"groups of 10-1000 people (e.g. school, workplace) are directed to isolate if they have symptoms on the basis of contact with a known case",1.0,max
Isolation,Symptomatic isolation - blanket,cluster isolation - symptoms,Entire districts or large groups (e.g. every member of a church) directed to isolate if they have symptoms for at least 14 days,1.0,max
Isolation,Symptomatic isolation - blanket,blanket isolation - symptoms,Everybody in a city or country is required to isolate if they have symptoms,2.0,max
Isolation,Asymptomatic isolation - targeted,contact isolation - no symptoms,close contacts of confirmed cases are required to isolate whether or not they have symptoms,1.0,max
Isolation,Asymptomatic isolation - targeted,cohort isolation - no symptoms,Groups of 10-1000 people are required to isolate on the basis of contact with known cases,2.0,max
Isolation,Asymptomatic isolation - blanket,cluster isolation - no symptoms,Entire districts or large groups (e.g. every member of a major church) directed to isolate for at least 14 days (these restrictions might be weaker than actual isolation directions),1.0,max
Isolation,Asymptomatic isolation - blanket,blanket isolation - no symptoms,Entire cities or countries placing restrictions on people's movement with strict conditions that must be met for anyone to leave home,3.0,max
Isolation,Asymptomatic isolation - blanket,blanket curfew - no symptoms,"Entire cities or countries placing restrictions on people's movement and freedom to leave home, but where people are still allowed some freedom to go shopping, exercise outside when they wish",2.0,max
Isolation,Asymptomatic isolation - blanket,natural village quarantine,Only one person from an entire community is allowed to leave their house,4.0,max
Isolation,Asymptomatic isolation - blanket,total vehicle ban,vehicles on roads are disallowed enforced by police checkpoints,3.0,max
Isolation,Domestic travel restriction,domestic traveller quarantine,Domestic travellers between cities/states required to isolate for at least 14 days,1.0,max
Isolation,Domestic travel restriction,domestic travel ban,Domestic travellers not permitted at all,2.0,max
Isolation,Domestic travel restriction,domestic travel limitation,Restrictions on domestic travel that are different to bans or quarantines,1.0,max
Isolation,International travel restriction,international travel ban - risk countries,travellers from specific source countries with high levels of infection are not permitted to enter the implementing country,5.0,max
Isolation,International travel restriction,international traveller quarantine - risk countries,travellers from specific countries with high levels of infection are required to isolate themselves on entry to the implementing country,3.0,max
Isolation,International travel restriction,international travel ban - all countries,international travellers are not permitted to enter the implementing country at all,6.0,max
